Model,Avg. Jaccard Index (Stability)
LinearSVC,1.0
LogisticRegression,0.9666666666666668
SGDClassifier,0.9666666666666666
MLP,0.8877192982456141
SVM,0.8308270676691728
MultinomialNB,0.8263157894736843
RandomForest,0.8263157894736842
GradientBoosting,0.649624060150376
KNN,0.5612990810359231
