Model,Fidelity_Score,AOPC_norm,Comp_norm,Suff_norm,AOPC_mean,Comprehensiveness_mean,Sufficiency_mean
MLP,0.9724,1.0,1.0,0.9173,0.327,0.3509,0.0145
SGDClassifier,0.5879,0.4237,0.4344,0.9056,0.1889,0.2057,0.0154
SVM,0.5759,0.3516,0.4226,0.9533,0.1717,0.2027,0.012
RandomForest,0.5676,0.4577,0.4458,0.7992,0.1971,0.2086,0.0228
KNN,0.5626,0.9059,0.7818,0.0,0.3045,0.2949,0.0783
MultinomialNB,0.4509,0.1569,0.2026,0.9933,0.125,0.1462,0.0093
LogisticRegression,0.4102,0.1164,0.143,0.9712,0.1153,0.1309,0.0108
LinearSVC,0.3886,0.0874,0.0785,1.0,0.1084,0.1143,0.0088
GradientBoosting,0.3049,0.0,0.0,0.9147,0.0874,0.0942,0.0147
