Model,AOPC_mean,AOPC_std,Comprehensiveness_mean,Comprehensiveness_std,Sufficiency_mean,Sufficiency_std,n_samples
LogisticRegression,0.11533026136564939,0.07370628161741448,0.13087349139342105,0.09523496749776802,0.010802060379896696,0.026227907158664857,269
MultinomialNB,0.12502673439607567,0.08149676195087624,0.14618437403548595,0.1059486362819657,0.00926882783252168,0.02182037010276549,269
LinearSVC,0.1083808591369669,0.06905686620934884,0.11431387343121292,0.07722561959518687,0.008803908209617283,0.020348718287834786,269
SGDClassifier,0.1889476290377341,0.10789044430717244,0.20570093677151177,0.12658745868141,0.015363576700096247,0.04087179411718728,269
SVM,0.1716848418527812,0.13344050348714592,0.20266215733344173,0.16458391654345061,0.012046548458284819,0.03158373847942129,269
KNN,0.30447604918163074,0.17515372592640993,0.29488672542891625,0.21385457378658002,0.07826052170201743,0.13971167688369476,269
RandomForest,0.1971022149517264,0.1378523091483455,0.20863143179516697,0.1555770958165325,0.022750320618192186,0.046543331910509037,269
GradientBoosting,0.08743255946835334,0.08051920229985898,0.09415987942278971,0.09031310673324432,0.014729674478835053,0.0329696907779603,269
MLP,0.3270251528546116,0.176559576256343,0.3509099076262511,0.2003466237543777,0.014547443190473444,0.04859694145735668,269
