Model,Avg. Jaccard Index (Global over 300 samples)
LogisticRegression,0.8550587580061263
MultinomialNB,0.8593456558061822
LinearSVC,0.8531938178780284
SGDClassifier,0.8498554720133668
SVM,0.8475206766917294
KNN,0.7507376775271513
RandomForest,0.8313889585073796
GradientBoosting,0.8018267195767196
MLP,0.8375672514619883
